Carcagny|Calvados->49.2398169:-0.6187072
Saint Remy|Calvados->48.9395152:-0.502177
Colomby|Manche->49.4563026:-1.4941505
Saint Sauveur de Bonfossé|Manche->32.9315755:10.4503961
Villefranche|Yonne->47.95935125:3.137415713525014
Saint Pierre de Semilly|Manche->49.1206872:-1.0056706
Chemilly sur Yonne|Yonne->47.8985791:3.5590171
Percy|Manche->48.9162031:-1.1898845
Le Lorey|Manche->49.093535:-1.3065433
Saint Sauveur|Oise->49.3185754:2.7818415
Solterre|Loiret->47.9187481:2.7393823
Le Vretot|Manche->49.4506527:-1.7094551
Le Dézert|Manche->49.2040065:-1.1656686
Saint Vigor le Grand|Calvados->49.2799517:-0.6906885
Saintes|Charente Maritime->45.7420801:-0.6299329
Dangy|Manche->49.0444513:-1.2242291
Villejuif|Val de Marne->48.7921098:2.3633048
Roye sur Matz|Oise->49.5929982:2.7729343
Gratot|Manche->49.0689947:-1.4963481
Champlay|Yonne->47.9508644:3.4381639
Aillant sur Tholon|Yonne->47.8705655:3.322728214772727
Bussy en Othe|Yonne->48.01846:3.51373
Granville|Manche->48.8376284:-1.5959213
Trevières|Calvados->49.3084948:-0.9047281
Glasgow|Scotland->55.8609825:-4.2488787
Valognes|Manche->49.5089547:-1.4708174
Fontenouilles|Yonne->47.884353149999995:3.0353271951058294
Malicorne|Yonne->47.8214101:3.1016885
Les Sièges|Yonne->48.17952:3.51799
Feins en Gâtinais|Loiret->47.7460101:2.8403651
Lavau|Yonne->47.59478:2.98669
Ecrammeville|Manche->32.9315755:10.4503961
Sortosville en Beaumont|Manche->49.4239242:-1.7156573
Paris, 17e|Paris->48.88743895:2.3065228678413767
Rouvray|Yonne->47.89709:3.6678
Béthisy Saint Martin|Oise->49.295264:2.8157232
Pont-Sainte-Maxence|Oise->49.3012483:2.6045838
Hermes|Oise->49.3571636:2.2461658
Longueville|Manche->48.8532306:-1.5516998
Issoire|Puy-de-Dome->45.5432973:3.2502213
Changy|Loiret->47.8582735:2.6855918
Saint Sauveur sur Douve|Manche->32.9315755:10.4503961
Grenoble|Isère->45.1875602:5.7357819
